ordinal,column,row_count,nonblank_count,blank_count,blank_pct,fully_blank,distinct_nonblank_count,sample_values,action,reason_to_keep_or_drop
59,source_file,17651,17651,0,0.0000,0,17,tradingagents/research/fundamental/runs/2022-06-30/2022Q2/walkforward_pit_v2_fix2/fundamental_final_scores_2022-06-30.csv | tradingagents/research/fundamental/runs/2022-09-30/2022Q3/walkforward_pit_v2_rebuild_20260518/fundamental_final_scores_2022-09-30.csv | tradingagents/research/fundamental/runs/2022-12-31/2022Q4/walkforward_pit_v2_rebuild_20260518/fundamental_final_scores_2022-12-31.csv | tradingagents/research/fundamental/runs/2023-03-31/2023Q1/walkforward_pit_v2_rebuild_20260518/fundamental_final_scores_2023-03-31.csv | tradingagents/research/fundamental/runs/2023-06-30/2023Q2/walkforward_pit_v2_rebuild_20260518/fundamental_final_scores_2023-06-30.csv,keep_sparse,Traceability/source field. Blank only when that source path does not apply.
60,panel_build_id,17651,17651,0,0.0000,0,17,panel_64d8713d27b3 | panel_c9561e4c1a89 | panel_ca415515d9a0 | panel_8492dcbff6cf | panel_acfb57d43534,keep,Populated field with row-level data; keep unless output contract is narrowed.
61,panel_build_timestamp,17651,17651,0,0.0000,0,17,2026-05-18T22:32:40Z | 2026-05-19T00:20:37Z | 2026-05-19T00:56:08Z | 2026-05-19T01:40:03Z | 2026-05-19T02:05:05Z,keep,Populated field with row-level data; keep unless output contract is narrowed.
62,feature_schema_version,17651,17651,0,0.0000,0,1,fundamental_complete_panel_v2,keep,Populated field with row-level data; keep unless output contract is narrowed.
63,feature_schema_path,17651,17651,0,0.0000,0,1,tradingagents/research/fundamental/src/panel/schema.py,keep_sparse,Traceability/source field. Blank only when that source path does not apply.
64,source_run_root,17651,17651,0,0.0000,0,17,tradingagents/research/fundamental/runs/2022-06-30/2022Q2/walkforward_pit_v2_fix2 | tradingagents/research/fundamental/runs/2022-09-30/2022Q3/walkforward_pit_v2_rebuild_20260518 | tradingagents/research/fundamental/runs/2022-12-31/2022Q4/walkforward_pit_v2_rebuild_20260518 | tradingagents/research/fundamental/runs/2023-03-31/2023Q1/walkforward_pit_v2_rebuild_20260518 | tradingagents/research/fundamental/runs/2023-06-30/2023Q2/walkforward_pit_v2_rebuild_20260518,keep_sparse,Traceability/source field. Blank only when that source path does not apply.
65,source_artifact,17651,17651,0,0.0000,0,17,tradingagents/research/fundamental/runs/2022-06-30/2022Q2/walkforward_pit_v2_fix2/fundamental_final_scores_2022-06-30.csv | tradingagents/research/fundamental/runs/2022-09-30/2022Q3/walkforward_pit_v2_rebuild_20260518/fundamental_final_scores_2022-09-30.csv | tradingagents/research/fundamental/runs/2022-12-31/2022Q4/walkforward_pit_v2_rebuild_20260518/fundamental_final_scores_2022-12-31.csv | tradingagents/research/fundamental/runs/2023-03-31/2023Q1/walkforward_pit_v2_rebuild_20260518/fundamental_final_scores_2023-03-31.csv | tradingagents/research/fundamental/runs/2023-06-30/2023Q2/walkforward_pit_v2_rebuild_20260518/fundamental_final_scores_2023-06-30.csv,keep_sparse,Traceability/source field. Blank only when that source path does not apply.
66,source_artifact_sha256,17651,17651,0,0.0000,0,17,64d8713d27b30a5f6ea000a5892306ea7c2293fbdc68256f0d3922ea6ee7e894 | c9561e4c1a898a2794b06bc8eba294b0b5f4a6438380cce88346a4ca144a6ecc | ca415515d9a0a248493ddff98ec126055aff5b38378191d6b727f4fc3feb9b9a | 8492dcbff6cf47af4cce15cd7988ae0672020fb8738052be01a81a45f98f342c | acfb57d435342fd1500babec5ac5c72255e6852e48a3de37b426655fa679aba6,keep_sparse,Traceability/source field. Blank only when that source path does not apply.
67,pre_llm_candidate_flag,17651,17651,0,0.0000,0,2,0 | 1,keep,Score/ranking field used to explain candidate quality or scoring path.
68,pre_llm_rank_by_score_quarter,17651,5405,12246,69.3785,0,391,240 | 255 | 256 | 1 | 37,keep,Score/ranking field used to explain candidate quality or scoring path.
69,revenue_value,17651,17651,0,0.0000,0,>1000,1607000000 | 52242000 | 3374210000 | 97278000000 | 3911800000,keep,Financial input used for PIT scoring.
70,net_income_value,17651,17651,0,0.0000,0,>1000,274000000 | -16062000 | 139791000 | 25010000000 | 237700000,keep,Financial input used for PIT scoring.
71,assets_value,17651,17651,0,0.0000,0,>1000,10455000000 | 446753000 | 12002481000 | 350662000000 | 7860100000,keep,Financial input used for PIT scoring.
72,operating_cash_flow_value,17651,17651,0,0.0000,0,>1000,283000000 | -3603000 | -54940000 | 28166000000 | 409000000,keep,Financial input used for PIT scoring.
73,investing_cash_flow_value,17651,17651,0,0.0000,0,>1000,-76000000 | -1051000 | -114026000 | -9265000000 | 231300000,keep,Financial input used for PIT scoring.
74,financing_cash_flow_value,17651,17651,0,0.0000,0,>1000,-123000000 | 3736000 | -273735000 | -28351000000 | -534900000,keep,Financial input used for PIT scoring.
75,revenue_bucket,17651,17651,0,0.0000,0,6,$1B-$2B | <$100M | $2B-$10B | >$10B | $500M-$1B,keep,Populated field with row-level data; keep unless output contract is narrowed.
76,profitability_score,17651,17651,0,0.0000,0,3,2 | -1 | 1,keep,Score/ranking field used to explain candidate quality or scoring path.
77,operating_cash_flow_score,17651,17651,0,0.0000,0,3,2 | -1 | 1,keep,Score/ranking field used to explain candidate quality or scoring path.
78,fcf_proxy_score,17651,17651,0,0.0000,0,3,2 | -1 | 1,keep,Score/ranking field used to explain candidate quality or scoring path.
79,financing_dependence_score,17651,17651,0,0.0000,0,3,1 | 0 | -1,keep,Score/ranking field used to explain candidate quality or scoring path.
80,asset_efficiency_score,17651,17651,0,0.0000,0,3,0 | 1 | 2,keep,Score/ranking field used to explain candidate quality or scoring path.
81,pre_llm_fundamental_score,17651,17651,0,0.0000,0,14,7 | -3 | 0 | 6 | -1,keep,Score/ranking field used to explain candidate quality or scoring path.
82,pre_llm_fundamental_bucket,17651,17651,0,0.0000,0,4,strong | weak | mixed | good,keep,Score/ranking field used to explain candidate quality or scoring path.
83,missing_critical_llm_fields,17651,17651,0,0.0000,0,1,0,keep_sparse,Reason/status field. Blank means no reason/status applied for that row.
84,coverage_status,17651,17651,0,0.0000,0,1,CACHED_READY,keep_sparse,Reason/status field. Blank means no reason/status applied for that row.
85,notes,17651,85,17566,99.5184,0,2,earnings_exhibit_not_identified_using_primary_8k_or_periodic | no_item_2_02_8k_using_periodic_only,keep_sparse,SEC evidence note. Blank means normal evidence path; value flags fallback path used for a small set of rows.
86,earnings_8k_accession,17651,17636,15,0.0850,0,>1000,0001090872-22-000010 | 0001683168-22-003230 | 0001158449-22-000167 | 0000320193-22-000058 | 0001144980-22-000120,keep,Populated field with row-level data; keep unless output contract is narrowed.
87,earnings_8k_filing_date,17651,17636,15,0.0850,0,857,2022-05-24 | 2022-05-05 | 2022-05-23 | 2022-04-28 | 2022-06-08,keep,Populated field with row-level data; keep unless output contract is narrowed.
88,earnings_8k_primary_document,17651,17636,15,0.0850,0,>1000,a-20220524.htm | applied_8k.htm | aap-20220523.htm | aapl-20220428.htm | abg-20220428.htm,keep,Populated field with row-level data; keep unless output contract is narrowed.
89,earnings_exhibit_document,17651,17566,85,0.4816,0,>1000,exhibit991-q222pressrelease.htm | applied_ex9901.htm | aap_exhibit991xq1x2022.htm | a8-kex991q2202203262022.htm | a2022q1ex991update.htm,keep,Populated field with row-level data; keep unless output contract is narrowed.
90,periodic_accession,17651,17651,0,0.0000,0,>1000,0001090872-22-000012 | 0001437749-22-011149 | 0001158449-22-000176 | 0000320193-22-000059 | 0001144980-22-000128,keep,Populated field with row-level data; keep unless output contract is narrowed.
91,periodic_form,17651,17651,0,0.0000,0,2,10-Q | 10-K,keep,Populated field with row-level data; keep unless output contract is narrowed.
92,periodic_filing_date,17651,17651,0,0.0000,0,852,2022-05-31 | 2022-05-05 | 2022-05-24 | 2022-04-29 | 2022-05-04,keep,Populated field with row-level data; keep unless output contract is narrowed.
93,periodic_primary_document,17651,17651,0,0.0000,0,>1000,a-20220430.htm | aaoi20220331_10q.htm | aap-20220423.htm | aapl-20220326.htm | abg-20220331.htm,keep,Populated field with row-level data; keep unless output contract is narrowed.
94,revenue_value_fact_namespace,17651,17651,0,0.0000,0,1,us-gaap,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
95,revenue_value_fact_concept,17651,17651,0,0.0000,0,2,RevenueFromContractWithCustomerExcludingAssessedTax | Revenues,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
96,revenue_value_fact_unit,17651,17651,0,0.0000,0,1,USD,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
97,revenue_value_fact_start,17651,17651,0,0.0000,0,370,2022-02-01 | 2022-01-01 | 2022-01-02 | 2021-12-26 | 2022-03-05,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
98,revenue_value_fact_end,17651,17651,0,0.0000,0,369,2022-04-30 | 2022-03-31 | 2022-04-23 | 2022-03-26 | 2022-06-03,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
99,revenue_value_fact_filed,17651,17651,0,0.0000,0,852,2022-05-31 | 2022-05-05 | 2022-05-24 | 2022-04-29 | 2022-05-04,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
100,revenue_value_fact_form,17651,17651,0,0.0000,0,2,10-Q | 10-K,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
101,revenue_value_fact_accession,17651,17651,0,0.0000,0,>1000,0001090872-22-000012 | 0001437749-22-011149 | 0001158449-22-000176 | 0000320193-22-000059 | 0001144980-22-000128,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
102,revenue_value_fact_period_type,17651,17651,0,0.0000,0,2,quarterly | derived_qtd_from_ytd,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
103,revenue_value_fact_selection_reason,17651,17651,0,0.0000,0,2,selected_quarterly_fact | derived_current_ytd_minus_prior_ytd,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
104,revenue_value_fact_is_exact_accession,17651,17651,0,0.0000,0,1,1,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
105,revenue_value_fact_is_consolidated,17651,17651,0,0.0000,0,1,1,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
106,revenue_value_fact_frame,17651,4581,13070,74.0468,0,25,CY2022Q1 | CY2021Q1 | CY2022Q2 | CY2021Q2 | CY2022Q3,keep,Populated field with row-level data; keep unless output contract is narrowed.
107,revenue_value_derivation_formula,17651,3685,13966,79.1230,0,1,current_ytd_minus_prior_ytd,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
108,revenue_value_derivation_source_facts_json,17651,3685,13966,79.1230,0,>1000,"[{""accession"": ""0000950170-22-010512"", ""concept"": ""RevenueFromContractWithCustomerExcludingAssessedTax"", ""end"": ""2022-03-31"", ""filed"": ""2022-05-23"", ""form"": ""10-K"", ""namespace"": ""u | [{""accession"": ""0001628280-22-017829"", ""concept"": ""RevenueFromContractWithCustomerExcludingAssessedTax"", ""end"": ""2022-04-30"", ""filed"": ""2022-06-23"", ""form"": ""10-K"", ""namespace"": ""u | [{""accession"": ""0000866291-22-000011"", ""concept"": ""RevenueFromContractWithCustomerExcludingAssessedTax"", ""end"": ""2022-03-25"", ""filed"": ""2022-05-18"", ""form"": ""10-K"", ""namespace"": ""u | [{""accession"": ""0001819574-22-000049"", ""concept"": ""RevenueFromContractWithCustomerExcludingAssessedTax"", ""end"": ""2022-03-31"", ""filed"": ""2022-05-31"", ""form"": ""10-K"", ""namespace"": ""u | [{""accession"": ""0000014693-22-000069"", ""concept"": ""RevenueFromContractWithCustomerExcludingAssessedTax"", ""end"": ""2022-04-30"", ""filed"": ""2022-06-17"", ""form"": ""10-K"", ""namespace"": ""u",keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
109,net_income_value_fact_namespace,17651,17651,0,0.0000,0,1,us-gaap,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
110,net_income_value_fact_concept,17651,17651,0,0.0000,0,1,NetIncomeLoss,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
111,net_income_value_fact_unit,17651,17651,0,0.0000,0,1,USD,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
112,net_income_value_fact_start,17651,17651,0,0.0000,0,370,2022-02-01 | 2022-01-01 | 2022-01-02 | 2021-12-26 | 2022-03-05,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
113,net_income_value_fact_end,17651,17651,0,0.0000,0,369,2022-04-30 | 2022-03-31 | 2022-04-23 | 2022-03-26 | 2022-06-03,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
114,net_income_value_fact_filed,17651,17651,0,0.0000,0,852,2022-05-31 | 2022-05-05 | 2022-05-24 | 2022-04-29 | 2022-05-04,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
115,net_income_value_fact_form,17651,17651,0,0.0000,0,2,10-Q | 10-K,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
116,net_income_value_fact_accession,17651,17651,0,0.0000,0,>1000,0001090872-22-000012 | 0001437749-22-011149 | 0001158449-22-000176 | 0000320193-22-000059 | 0001144980-22-000128,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
117,net_income_value_fact_period_type,17651,17651,0,0.0000,0,2,quarterly | derived_qtd_from_ytd,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
118,net_income_value_fact_selection_reason,17651,17651,0,0.0000,0,2,selected_quarterly_fact | derived_current_ytd_minus_prior_ytd,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
119,net_income_value_fact_is_exact_accession,17651,17651,0,0.0000,0,1,1,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
120,net_income_value_fact_is_consolidated,17651,17651,0,0.0000,0,1,1,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
121,net_income_value_fact_frame,17651,3733,13918,78.8511,0,25,CY2022Q1 | CY2021Q1 | CY2022Q2 | CY2021Q2 | CY2022Q3,keep,Populated field with row-level data; keep unless output contract is narrowed.
122,net_income_value_derivation_formula,17651,3719,13932,78.9304,0,1,current_ytd_minus_prior_ytd,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
123,net_income_value_derivation_source_facts_json,17651,3719,13932,78.9304,0,>1000,"[{""accession"": ""0000950170-22-010512"", ""concept"": ""NetIncomeLoss"", ""end"": ""2022-03-31"", ""filed"": ""2022-05-23"", ""form"": ""10-K"", ""namespace"": ""us-gaap"", ""start"": ""2021-04-01"", ""unit"" | [{""accession"": ""0001628280-22-017829"", ""concept"": ""NetIncomeLoss"", ""end"": ""2022-04-30"", ""filed"": ""2022-06-23"", ""form"": ""10-K"", ""namespace"": ""us-gaap"", ""start"": ""2021-05-01"", ""unit"" | [{""accession"": ""0000866291-22-000011"", ""concept"": ""NetIncomeLoss"", ""end"": ""2022-03-25"", ""filed"": ""2022-05-18"", ""form"": ""10-K"", ""namespace"": ""us-gaap"", ""start"": ""2021-03-27"", ""unit"" | [{""accession"": ""0001819574-22-000049"", ""concept"": ""NetIncomeLoss"", ""end"": ""2022-03-31"", ""filed"": ""2022-05-31"", ""form"": ""10-K"", ""namespace"": ""us-gaap"", ""start"": ""2021-04-01"", ""unit"" | [{""accession"": ""0000014693-22-000069"", ""concept"": ""NetIncomeLoss"", ""end"": ""2022-04-30"", ""filed"": ""2022-06-17"", ""form"": ""10-K"", ""namespace"": ""us-gaap"", ""start"": ""2021-05-01"", ""unit""",keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
124,assets_value_fact_namespace,17651,17651,0,0.0000,0,1,us-gaap,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
125,assets_value_fact_concept,17651,17651,0,0.0000,0,1,Assets,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
126,assets_value_fact_unit,17651,17651,0,0.0000,0,1,USD,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
127,assets_value_fact_end,17651,17651,0,0.0000,0,369,2022-04-30 | 2022-03-31 | 2022-04-23 | 2022-03-26 | 2022-06-03,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
128,assets_value_fact_filed,17651,17651,0,0.0000,0,852,2022-05-31 | 2022-05-05 | 2022-05-24 | 2022-04-29 | 2022-05-04,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
129,assets_value_fact_form,17651,17651,0,0.0000,0,2,10-Q | 10-K,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
130,assets_value_fact_accession,17651,17651,0,0.0000,0,>1000,0001090872-22-000012 | 0001437749-22-011149 | 0001158449-22-000176 | 0000320193-22-000059 | 0001144980-22-000128,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
131,assets_value_fact_period_type,17651,17651,0,0.0000,0,1,instant,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
132,assets_value_fact_selection_reason,17651,17651,0,0.0000,0,1,selected_instant_fact,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
133,assets_value_fact_is_exact_accession,17651,17651,0,0.0000,0,1,1,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
134,assets_value_fact_is_consolidated,17651,17651,0,0.0000,0,1,1,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
135,assets_value_fact_frame,17651,12774,4877,27.6302,0,21,CY2022Q1I | CY2022Q2I | CY2021Q1I | CY2022Q3I | CY2021Q2I,keep,Populated field with row-level data; keep unless output contract is narrowed.
136,operating_cash_flow_value_fact_namespace,17651,17651,0,0.0000,0,1,us-gaap,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
137,operating_cash_flow_value_fact_concept,17651,17651,0,0.0000,0,1,NetCashProvidedByUsedInOperatingActivities,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
138,operating_cash_flow_value_fact_unit,17651,17651,0,0.0000,0,1,USD,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
139,operating_cash_flow_value_fact_start,17651,17651,0,0.0000,0,235,2021-11-01 | 2022-01-01 | 2022-01-02 | 2021-09-26 | 2021-12-04,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
140,operating_cash_flow_value_fact_end,17651,17651,0,0.0000,0,369,2022-04-30 | 2022-03-31 | 2022-04-23 | 2022-03-26 | 2022-06-03,keep,Per-field financial provenance. Needed to prove no future SEC facts were used.
