sample_id,quarter,ticker,mini_bucket,xhigh_bucket,bucket_changed,mini_score,xhigh_score,score_change,score_changed,mini_risk,xhigh_risk,risk_change,risk_changed,mini_action,xhigh_action,action_change,action_changed,mini_confidence,xhigh_confidence,confidence_changed,mini_detected_driver_category,xhigh_detected_driver_category,driver_category_changed
T3000018,2021Q4,KLXE,constructive,constructive,0,3,6,3,1,3,2,-1,1,1,1,0,0,high,high,0,pricing_and_utilization,pricing_utilization_synergy,1
T3000019,2021Q4,KOS,constructive,constructive,0,5,4,-1,1,2,3,1,1,1,1,0,0,high,medium,1,portfolio_and_production_improvement,portfolio_transition_and_deleveraging,1
T3000020,2021Q4,LFST,constructive,deteriorating,1,5,-1,-6,1,2,4,2,1,1,-3,-4,1,high,high,0,clinic_network_growth,growth_with_margin_deterioration,1
T3000021,2021Q4,MERC,constructive,constructive,0,6,6,0,0,2,2,0,0,1,1,0,0,high,high,0,pricing_and_cost_mix,pricing_realization,1
T3000022,2021Q4,NNBR,deteriorating,deteriorating,0,-1,-4,-3,1,3,4,1,1,-3,-3,0,0,high,high,0,volume_and_inflation_pressure,supply_chain_and_inflation_pressure,1
T3000023,2021Q4,NVRI,constructive,deteriorating,1,3,-2,-5,1,3,4,1,1,1,-3,-4,1,high,high,0,segment_mix_and_demand,segment_divergence_and_guidance_shortfall,1
T3000024,2021Q4,OI,neutral,constructive,1,2,6,4,1,2,2,0,0,0,1,1,1,high,high,0,pricing_and_volume_mix,outlook_raise_and_cash_flow,1
T3000025,2021Q4,ORGO,constructive,constructive,0,5,3,-2,1,2,2,0,0,1,1,0,0,high,high,0,pricing_and_mix,product growth,1
T3000026,2021Q4,OSUR,neutral,deteriorating,1,2,-1,-3,1,3,4,1,1,0,-3,-3,1,medium,medium,0,demand_and_mixture,capacity/demand,1
T3000027,2021Q4,OSW,neutral,deteriorating,1,2,-2,-4,1,3,4,1,1,0,-3,-3,1,medium,high,1,reopening_and_volume_recovery,reopening recovery,1
T3000028,2021Q4,PAYO,inflecting,inflecting,0,8,9,1,1,1,1,0,0,3,3,0,0,high,high,0,broad_based_growth,platform growth,1
T3000029,2021Q4,PWP,constructive,constructive,0,6,6,0,0,1,1,0,0,1,1,0,0,high,high,0,advisory_volume_growth,advisory demand,1
T3000030,2021Q4,RBBN,constructive,deteriorating,1,3,-1,-4,1,2,4,2,1,1,-3,-4,1,high,high,0,supply_chain_and_order_timing,supply/demand mismatch,1
T3000031,2021Q4,REAL,constructive,neutral,1,3,1,-2,1,1,2,1,1,1,0,-1,1,medium,medium,0,gmv_growth,marketplace demand,1
T3000032,2021Q4,RELL,inflecting,constructive,1,7,6,-1,1,1,1,0,0,3,1,-2,1,high,high,0,broad_based_sales_and_backlog,broad-based sales growth,1
T3000033,2021Q4,RIG,deteriorating,deteriorating,0,-3,-2,1,1,4,3,-1,1,-3,-3,0,0,medium,high,1,operational_efficiency,operations/contracts,1
T3000034,2021Q4,RYAM,constructive,constructive,0,3,5,2,1,2,2,0,0,1,1,0,0,medium,medium,0,pricing_mix,portfolio/pricing,1
T3000035,2021Q4,SHO,deteriorating,deteriorating,0,-2,-1,1,1,4,3,-1,1,-3,-3,0,0,low,low,0,hotel_recovery,property-level recovery,1
T3000036,2021Q4,SMHI,neutral,deteriorating,1,1,-1,-2,1,3,3,0,0,0,-3,-3,1,medium,high,1,utilization_and_rates,cycle/utilization,1
T3000037,2021Q4,STGW,constructive,constructive,0,6,6,0,0,1,1,0,0,1,1,0,0,high,high,0,organic_growth,organic growth/guidance,1
T3000038,2021Q4,UTI,constructive,inflecting,1,6,9,3,1,1,1,0,0,1,3,2,1,high,high,0,student_demand,enrollment/operational improvement,1
T3000039,2021Q4,ZETA,constructive,inflecting,1,5,7,2,1,1,1,0,0,1,3,2,1,high,high,0,revenue_growth,customer/revenue scaling,1
T3000040,2022Q1,ALTG,constructive,constructive,0,5,5,0,0,1,2,1,1,1,1,0,0,high,high,0,diversified_demand,demand/acquisitions,1
T3000041,2022Q1,ARLO,inflecting,inflecting,0,7,9,2,1,2,1,-1,1,3,3,0,0,high,high,0,growth_and_margin,recurring_revenue_growth,1
T3000042,2022Q1,BHR,constructive,constructive,0,3,3,0,0,2,1,-1,1,1,1,0,0,medium,medium,0,operating_recovery,demand_recovery,1
T3000043,2022Q1,BTU,inflecting,inflecting,0,8,8,0,0,1,2,1,1,3,3,0,0,high,high,0,commodity_pricing,pricing_margin_inflection,1
T3000044,2022Q1,CNDT,deteriorating,deteriorating,0,-1,-2,-1,1,4,4,0,0,-3,-3,0,0,high,high,0,mix_and_contract_volume,contract_volume_pressure,1
T3000045,2022Q1,CNTY,constructive,constructive,0,5,4,-1,1,1,2,1,1,1,1,0,0,medium,medium,0,operating_recovery,post_covid_recovery,1
T3000046,2022Q1,COMP,constructive,neutral,1,3,1,-2,1,2,3,1,1,1,0,-1,1,medium,high,1,market_share_and_growth,scale_growth,1
T3000047,2022Q1,CTOS,constructive,constructive,0,5,6,1,1,2,2,0,0,1,1,0,0,medium,high,1,integration_and_demand,backlog_demand_growth,1
T3000048,2022Q1,DBI,inflecting,inflecting,0,8,8,0,0,1,1,0,0,3,3,0,0,high,high,0,margin_and_brand_mix,gross_margin_recovery,1
T3000049,2022Q1,DRH,neutral,deteriorating,1,1,-3,-4,1,4,4,0,0,-3,-3,0,0,medium,high,1,operating recovery,demand recovery delay,1
T3000050,2022Q1,EVCM,neutral,neutral,0,0,1,1,1,2,1,-1,1,0,0,0,0,low,medium,1,guidance update,preliminary guidance beat,1
T3000051,2022Q1,EZPW,inflecting,inflecting,0,9,9,0,0,1,1,0,0,3,3,0,0,high,high,0,operating improvement,core operating improvement,1
T3000052,2022Q1,FSTR,deteriorating,deteriorating,0,-1,-2,-1,1,4,4,0,0,-3,-3,0,0,high,high,0,demand and margin pressure,margin and order pressure,1
T3000053,2022Q1,HBB,neutral,constructive,1,1,3,2,1,3,2,-1,1,0,1,1,1,medium,high,1,supply chain disruption,supply-constrained demand and product growth,1
T3000054,2022Q1,HIMS,constructive,neutral,1,3,0,-3,1,3,3,0,0,1,0,-1,1,medium,high,1,growth scaling,subscription revenue growth,1
T3000055,2022Q1,HLIT,constructive,inflecting,1,6,7,1,1,2,2,0,0,1,3,2,1,high,high,0,backlog and demand strength,backlog-led growth,1
T3000056,2022Q1,JBLU,neutral,deteriorating,1,1,-2,-3,1,4,4,0,0,-3,-3,0,0,high,high,0,demand shock and recovery,demand shock and recovery claim,1
T3000057,2022Q1,JILL,inflecting,inflecting,0,7,9,2,1,2,1,-1,1,3,3,0,0,high,high,0,margin_improvement,margin recovery,1
T3000058,2022Q1,KEQU,neutral,deteriorating,1,1,-3,-4,1,3,4,1,1,0,-3,-3,1,medium,medium,0,backlog_growth,backlog growth,1
T3000059,2022Q1,KLXE,constructive,constructive,0,3,3,0,0,2,2,0,0,1,1,0,0,medium,medium,0,sequential_revenue_growth,sequential revenue recovery,1
T3000060,2022Q1,LBTYA,inflecting,constructive,1,8,3,-5,1,1,2,1,1,3,1,-2,1,high,high,0,cash_flow_recovery,top-line stabilization,1
T3000061,2022Q1,LBTYK,inflecting,constructive,1,8,3,-5,1,1,2,1,1,3,1,-2,1,high,high,0,cash_flow_recovery,top-line stabilization,1
T3000062,2022Q1,LFST,constructive,neutral,1,6,0,-6,1,2,3,1,1,1,0,-1,1,high,high,0,growth_investment,high revenue growth with margin dilution,1
T3000063,2022Q1,MQ,deteriorating,constructive,1,-1,3,4,1,4,1,-3,1,-3,1,4,1,medium,medium,0,volume_outperformance,processing-volume upside,1
T3000064,2022Q1,MTRX,constructive,deteriorating,1,3,-2,-5,1,2,4,2,1,1,-3,-4,1,medium,high,1,order_backlog,backlog and award recovery,1
T3000065,2022Q1,NVRI,constructive,constructive,0,3,3,0,0,2,2,0,0,1,1,0,0,high,high,0,margin_and_mix,demand_recovery_and_initiatives,1
T3000066,2022Q1,ORGO,constructive,constructive,0,3,6,3,1,2,2,0,0,1,1,0,0,high,high,0,growth_and_margin_expansion,commercial_execution_and_margin_expansion,1
T3000067,2022Q1,OSCR,deteriorating,neutral,1,-2,0,2,1,4,4,0,0,-3,-3,0,0,high,high,0,growth_with_losses,membership_and_premium_growth,1
T3000068,2022Q1,OSUR,deteriorating,deteriorating,0,-4,-4,0,0,4,4,0,0,-3,-3,0,0,high,high,0,mixed_operating_pressure,covid_product_decline_and_strategic_review,1
T3000069,2022Q1,OSW,constructive,constructive,0,3,4,1,1,2,3,1,1,1,1,0,0,high,high,0,reopening_and_scale,cruise_operations_reopening,1
T3000070,2022Q1,PAYO,constructive,neutral,1,3,1,-2,1,3,4,1,1,1,-3,-4,1,high,high,0,volume_and_take_rate_mix,higher_value_services_growth_with_geopolitical_reset,1
T3000071,2022Q1,PLTR,constructive,inflecting,1,5,8,3,1,2,1,-1,1,1,3,2,1,high,high,0,growth_and_operating_efficiency,commercial_customer_growth,1
T3000072,2022Q1,PWP,neutral,neutral,0,2,1,-1,1,1,2,1,1,0,0,0,0,medium,medium,0,revenue_driven_compensation_leverage,revenue_growth_with_compensation_leverage,1
T3000073,2022Q1,RBBN,neutral,deteriorating,1,0,-1,-1,1,4,4,0,0,-3,-3,0,0,high,high,0,supply_chain,supply_chain_and_mix_pressure,1
T3000074,2022Q1,REAL,neutral,constructive,1,1,3,2,1,2,1,-1,1,0,1,1,1,medium,medium,0,demand_metrics,marketplace_volume_growth,1
T3000075,2022Q1,RELY,neutral,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,high,high,0,none,earnings_date_announcement,1
T3000076,2022Q1,RIG,constructive,neutral,1,3,2,-1,1,2,2,0,0,1,0,-1,1,medium,high,1,pricing_and_utilization,offshore_drilling_market_recovery,1
T3000077,2022Q1,RLJ,constructive,constructive,0,6,3,-3,1,2,2,0,0,1,1,0,0,high,high,0,travel_recovery,lodging_demand_recovery,1
T3000078,2022Q1,RSI,constructive,neutral,1,3,0,-3,1,2,3,1,1,1,0,-1,1,high,high,0,revenue_growth,growth_investment_tradeoff,1
T3000079,2022Q1,SHO,inflecting,deteriorating,1,7,-1,-8,1,1,2,1,1,3,-3,-6,1,high,low,1,hotel_recovery,supplemental_financial_disclosure,1
T3000080,2022Q1,SLQT,deteriorating,neutral,1,-1,0,1,1,5,5,0,0,-3,-3,0,0,high,high,0,persistency_and_cohort_adjustment,unit_economics_and_persistency_break,1
T3000081,2022Q1,SMHI,neutral,constructive,1,2,3,1,1,2,2,0,0,0,1,1,1,high,high,0,operational_improvement,demand_recovery,1
T3000082,2022Q1,TALO,constructive,constructive,0,6,4,-2,1,1,2,1,1,1,1,0,0,high,medium,1,production_and_cash_flow,production_and_cash_flow,0
T3000083,2022Q1,TDAY,inflecting,constructive,1,7,5,-2,1,1,2,1,1,3,1,-2,1,high,high,0,digital_growth_and_cash_flow,digital_transition_and_cash_flow,1
T3000084,2022Q1,ULCC,deteriorating,deteriorating,0,-3,-1,2,1,4,3,-1,1,-3,-3,0,0,high,high,0,merger_and_guidance_withdrawal,capacity_growth,1
T3000085,2022Q1,UTZ,constructive,neutral,1,4,2,-2,1,2,3,1,1,1,0,-1,1,high,high,0,pricing_and_productivity,pricing_and_productivity,0
T3000086,2022Q1,VERX,constructive,neutral,1,4,0,-4,1,2,3,1,1,1,0,-1,1,high,high,0,subscription_and_cloud_growth,cloud_revenue_growth,1
T3000087,2022Q1,VITL,constructive,constructive,0,6,3,-3,1,1,2,1,1,1,1,0,0,high,high,0,top_line_growth,top_line_growth,0
T3000088,2022Q1,VRT,constructive,neutral,1,4,0,-4,1,2,4,2,1,1,-3,-4,1,high,high,0,pricing_actions_and_backlog,pricing_backlog_supply_chain,1
T3000089,2022Q1,VYGR,neutral,neutral,0,2,0,-2,1,3,2,-1,1,0,0,0,0,high,medium,1,pipeline_progress,platform partnership and preclinical pipeline,1
T3000090,2022Q1,ZETA,inflecting,inflecting,0,8,8,0,0,2,1,-1,1,3,3,0,0,high,high,0,scaled_growth_and_margin_expansion,customer growth and margin expansion,1
T3000091,2022Q2,AHCO,constructive,constructive,0,6,6,0,0,2,2,0,0,1,1,0,0,high,high,0,revenue_growth_and_cost_absorption,recovery and profitability improvement,1
T3000092,2022Q2,AIOT,constructive,deteriorating,1,3,-1,-4,1,2,3,1,1,1,-3,-4,1,medium,high,1,recurring_revenue_growth,SaaS and recurring revenue transition,1
T3000093,2022Q2,ALTG,inflecting,constructive,1,7,5,-2,1,1,2,1,1,3,1,-2,1,high,high,0,broad_based_revenue_growth,revenue mix and product support growth,1
T3000094,2022Q2,AMRX,neutral,neutral,0,2,0,-2,1,2,2,0,0,0,0,0,0,high,high,0,stable_results_with_margin_pressure,portfolio offset and guidance maintenance,1
T3000095,2022Q2,BLBD,constructive,deteriorating,1,3,-3,-6,1,4,5,1,1,-3,-3,0,0,high,high,0,demand_and_supply_disruption,backlog and pricing response under supply stress,1
T3000096,2022Q2,BRSP,constructive,inflecting,1,5,7,2,1,1,1,0,0,1,3,2,1,high,high,0,capital_deployment_and_dividend,loan portfolio deployment and dividend growth,1
T3000097,2022Q2,CCL,neutral,neutral,0,2,0,-2,1,4,4,0,0,-3,-3,0,0,medium,high,1,demand_recovery,demand_recovery,0
T3000098,2022Q2,CDE,neutral,neutral,0,2,1,-1,1,2,2,0,0,0,0,0,0,medium,medium,0,production_and_guidance,operations_execution,1
T3000099,2022Q2,CLNE,deteriorating,deteriorating,0,-1,-2,-1,1,4,3,-1,1,-3,-3,0,0,medium,high,1,volume_growth_with_guidance_pressure,volume_growth,1
T3000100,2022Q2,CNDT,deteriorating,deteriorating,0,-1,-2,-1,1,3,3,0,0,-3,-3,0,0,medium,high,1,mix_shift_and_lost_business,contract_mix,1
T3000101,2022Q2,CNK,constructive,constructive,0,6,4,-2,1,2,2,0,0,1,1,0,0,high,high,0,box_office_recovery,demand_recovery,1
T3000102,2022Q2,COMP,constructive,deteriorating,1,3,-3,-6,1,2,4,2,1,1,-3,-4,1,high,high,0,market_share_and_volume,market_share_growth,1
T3000103,2022Q2,CTLP,inflecting,inflecting,0,7,7,0,0,1,1,0,0,3,3,0,0,high,high,0,transaction_volume_growth,transaction_growth,1
T3000104,2022Q2,CTOS,neutral,deteriorating,1,0,-3,-3,1,3,3,0,0,0,-3,-3,1,medium,medium,0,preliminary_update_and_transition,management_transition,1
T3000105,2022Q2,CVGI,constructive,neutral,1,3,0,-3,1,2,3,1,1,1,0,-1,1,medium,medium,0,cost_and_mix,cost_repositioning_and_price_cost_recovery,1
T3000106,2022Q2,CXM,deteriorating,neutral,1,-1,1,2,1,4,3,-1,1,-3,0,3,1,high,high,0,growth_with_margin_pressure,subscription_saas_growth,1
T3000107,2022Q2,DCGO,inflecting,inflecting,0,9,9,0,0,1,1,0,0,3,3,0,0,high,high,0,business_mix_shift,non_covid_growth_transition,1
T3000108,2022Q2,DNOW,inflecting,inflecting,0,7,8,1,1,1,1,0,0,3,3,0,0,medium,high,1,operating_efficiency,operating_efficiency_and_inventory_leverage,1
T3000109,2022Q2,DNUT,inflecting,constructive,1,7,4,-3,1,1,2,1,1,3,1,-2,1,high,high,0,same_store_and_geographic_expansion,hub_and_spoke_expansion,1
T3000110,2022Q2,EVCM,constructive,constructive,0,3,6,3,1,2,1,-1,1,1,1,0,0,medium,high,1,guidance_raise,vertical_saas_growth_and_guidance_raise,1
T3000111,2022Q2,FLNC,neutral,deteriorating,1,1,-3,-4,1,4,5,1,1,-3,-3,0,0,high,high,0,backlog_and_bookings,backlog_growth_with_execution_pressure,1
T3000112,2022Q2,FSTR,constructive,deteriorating,1,3,-2,-5,1,2,4,2,1,1,-3,-4,1,medium,high,1,order_book_and_pricing,backlog_and_pricing_actions,1
T3000113,2022Q2,FWRG,inflecting,inflecting,0,7,8,1,1,2,1,-1,1,3,3,0,0,high,high,0,same-store-sales and traffic,traffic_and_unit_growth,1
T3000114,2022Q2,GNE,constructive,constructive,0,4,6,2,1,2,1,-1,1,1,1,0,0,medium,high,1,margin improvement in retail energy,margin_expansion,1
T3000115,2022Q2,GRPN,deteriorating,deteriorating,0,-1,-5,-4,1,5,4,-1,1,-3,-3,0,0,high,high,0,turnaround and cost restructuring,demand_decline,1
T3000116,2022Q2,GT,constructive,constructive,0,5,3,-2,1,2,2,0,0,1,1,0,0,high,medium,1,acquisition and pricing mix,merger_and_pricing,1
T3000117,2022Q2,HBB,neutral,deteriorating,1,2,-1,-3,1,3,3,0,0,0,-3,-3,1,medium,high,1,pricing and commercial rebound,cost_and_demand_pressure,1
T3000118,2022Q2,HIMS,constructive,constructive,0,6,5,-1,1,2,2,0,0,1,1,0,0,high,high,0,subscriber and platform growth,subscription_growth,1
T3000119,2022Q2,HLMN,constructive,deteriorating,1,3,-1,-4,1,2,2,0,0,1,-3,-4,1,medium,medium,0,pricing and volume stability,preliminary_mixed_results,1
T3000120,2022Q2,KLXE,constructive,constructive,0,3,3,0,0,3,3,0,0,1,1,0,0,medium,high,1,sequential volume and pricing improvement,market_recovery,1
T3000121,2022Q2,KOS,inflecting,inflecting,0,7,9,2,1,1,1,0,0,3,3,0,0,high,high,0,cash flow / production,production and free cash flow,1
T3000122,2022Q2,LE,neutral,deteriorating,1,1,-3,-4,1,3,4,1,1,0,-3,-3,1,high,high,0,margin / cost pressure,margin pressure,1
T3000123,2022Q2,LFST,constructive,neutral,1,4,1,-3,1,2,2,0,0,1,0,-1,1,high,high,0,growth / capacity expansion,capacity growth,1
T3000124,2022Q2,LMB,inflecting,inflecting,0,7,7,0,0,1,1,0,0,3,3,0,0,high,high,0,backlog / margin expansion,backlog and margin improvement,1
T3000125,2022Q2,LTH,inflecting,constructive,1,8,3,-5,1,1,3,2,1,3,1,-2,1,high,high,0,same-store / membership growth,reopening recovery,1
T3000126,2022Q2,MGNI,inflecting,constructive,1,7,4,-3,1,1,2,1,1,3,1,-2,1,high,high,0,platform growth,CTV growth,1
T3000127,2022Q2,MIR,neutral,deteriorating,1,2,-3,-5,1,3,4,1,1,0,-3,-3,1,high,high,0,guidance reset / mix shift,guidance reduction and project disruption,1
T3000128,2022Q2,NRDS,constructive,constructive,0,5,6,1,1,1,1,0,0,1,1,0,0,high,high,0,traffic / monetization growth,vertical diversification and brand investment,1
T3000129,2022Q2,NTNX,neutral,neutral,0,0,1,1,1,4,4,0,0,-3,-3,0,0,high,high,0,subscription execution,subscription transition,1
T3000130,2022Q2,NVRI,neutral,deteriorating,1,0,-3,-3,1,4,5,1,1,-3,-3,0,0,high,high,0,inflation and cost pressure,cost inflation,1
T3000131,2022Q2,OI,inflecting,inflecting,0,7,9,2,1,1,1,0,0,3,3,0,0,high,high,0,pricing and volume leverage,operational improvement,1
T3000132,2022Q2,ORGO,constructive,deteriorating,1,3,-2,-5,1,2,3,1,1,1,-3,-4,1,high,high,0,product and mix growth,product growth versus operating headwinds,1
T3000133,2022Q2,ORN,constructive,neutral,1,5,0,-5,1,1,3,2,1,1,0,-1,1,high,high,0,backlog growth,backlog growth,0
T3000134,2022Q2,OSCR,constructive,constructive,0,3,3,0,0,2,2,0,0,1,1,0,0,high,high,0,membership scale and operating leverage,scale efficiency,1
T3000135,2022Q2,PAYO,inflecting,inflecting,0,9,9,0,0,1,1,0,0,3,3,0,0,high,high,0,higher value services and customer acquisition,revenue mix and customer acquisition,1
T3000136,2022Q2,PLTK,constructive,neutral,1,4,2,-2,1,1,2,1,1,1,0,-1,1,high,high,0,portfolio mix and user monetization,portfolio mix growth,1
T3000137,2022Q2,PNTG,constructive,constructive,0,4,4,0,0,2,2,0,0,1,1,0,0,medium,high,1,volume_and_margins,volume and margin recovery,1
T3000138,2022Q2,POWL,constructive,constructive,0,4,4,0,0,2,2,0,0,1,1,0,0,high,high,0,order_growth_and_margin_recovery,orders and margin recovery,1
T3000139,2022Q2,PWP,deteriorating,deteriorating,0,-2,-3,-1,1,3,3,0,0,-3,-3,0,0,high,high,0,advisory_revenue_decline,advisory activity decline,1
T3000140,2022Q2,REAL,neutral,neutral,0,2,0,-2,1,3,3,0,0,0,0,0,0,medium,high,1,gmv_growth_and_topline_guidance,top-line growth,1
T3000141,2022Q2,RELY,constructive,constructive,0,4,4,0,0,2,2,0,0,1,1,0,0,high,high,0,customer_growth_and_unit_economics,customer and volume growth,1
T3000142,2022Q2,SFIX,deteriorating,deteriorating,0,-4,-5,-1,1,4,5,1,1,-3,-3,0,0,high,high,0,guidance_cut_and_margin_pressure,demand and restructuring pressure,1
T3000143,2022Q2,SHLS,constructive,constructive,0,6,3,-3,1,2,4,2,1,1,-3,-4,1,high,high,0,record_backlog_and_margin_expansion,backlog and margin recovery,1
T3000144,2022Q2,SHO,neutral,deteriorating,1,0,-2,-2,1,0,1,1,1,0,-3,-3,1,low,medium,1,non_gaap_reconciliation_only,insufficient operating evidence,1
T3000145,2022Q2,SLQT,neutral,deteriorating,1,2,-3,-5,1,3,4,1,1,0,-3,-3,1,medium,high,1,operational_improvement,early efficiency and new business growth,1
T3000146,2022Q2,SMHI,deteriorating,deteriorating,0,-2,-2,0,0,3,3,0,0,-3,-3,0,0,medium,high,1,operational_recovery,demand recovery with cost pressure,1
T3000147,2022Q2,SSP,inflecting,inflecting,0,7,8,1,1,2,1,-1,1,3,3,0,0,high,high,0,pricing_and_mix,advertising growth and expense control,1
T3000148,2022Q2,SWIM,inflecting,constructive,1,8,6,-2,1,1,2,1,1,3,1,-2,1,high,high,0,pricing_and_volume,pricing and demand growth,1
T3000149,2022Q2,TH,inflecting,inflecting,0,9,9,0,0,1,1,0,0,3,3,0,0,high,high,0,demand_expansion,contract execution and demand recovery,1
T3000150,2022Q2,TPC,neutral,neutral,0,2,0,-2,1,3,3,0,0,0,0,0,0,high,high,0,cash_and_backlog,cash collection and backlog stability,1
T3000151,2022Q2,TWI,inflecting,inflecting,0,9,9,0,0,1,1,0,0,3,3,0,0,high,high,0,demand_cycle,multi-year equipment demand cycle,1
T3000152,2022Q2,UTZ,neutral,deteriorating,1,2,-1,-3,1,3,3,0,0,0,-3,-3,1,high,high,0,pricing_and_productivity,pricing-led sales growth under inflation,1
T3000153,2022Q2,VERX,constructive,neutral,1,3,2,-1,1,2,2,0,0,1,0,-1,1,high,medium,1,growth_and_retention,subscription_growth,1
T3000154,2022Q2,VRT,constructive,neutral,1,3,2,-1,1,3,4,1,1,1,-3,-4,1,high,high,0,pricing_and_backlog,pricing_and_backlog,0
T3000155,2022Q2,VYGR,neutral,deteriorating,1,1,-1,-2,1,1,2,1,1,0,-3,-3,1,medium,medium,0,pipeline_progress,pipeline_progress,0
T3000156,2022Q2,WNC,inflecting,inflecting,0,7,9,2,1,1,1,0,0,3,3,0,0,high,high,0,demand_and_backlog,demand_and_backlog,0
T3000157,2022Q3,ACCO,deteriorating,deteriorating,0,-1,-5,-4,1,4,5,1,1,-3,-3,0,0,high,high,0,pricing_vs_inflation_pressure,inflation_and_demand_pressure,1
T3000158,2022Q3,AIOT,inflecting,inflecting,0,7,7,0,0,1,1,0,0,3,3,0,0,high,high,0,margin_improvement_and_recurring_mix,margin_and_recurring_revenue,1
T3000159,2022Q3,ALTG,inflecting,inflecting,0,7,9,2,1,1,1,0,0,3,3,0,0,high,high,0,broad_based_growth,revenue_growth_and_guidance_raise,1
T3000160,2022Q3,ARLO,inflecting,inflecting,0,8,9,1,1,1,1,0,0,3,3,0,0,high,high,0,subscription_and_gross_margin_expansion,subscription_arr_and_margin,1
T3000161,2022Q3,ATRO,constructive,constructive,0,3,3,0,0,3,3,0,0,1,1,0,0,high,high,0,backlog and bookings,demand_backlog_recovery,1
T3000162,2022Q3,BRSP,neutral,neutral,0,2,2,0,0,3,3,0,0,0,0,0,0,high,medium,1,loan originations and dividend,portfolio_earnings_support,1
T3000163,2022Q3,BVS,constructive,constructive,0,4,4,0,0,2,2,0,0,1,1,0,0,high,high,0,sales growth and guidance update,revenue_growth_margin_recovery,1
T3000164,2022Q3,CCL,constructive,neutral,1,5,1,-4,1,3,4,1,1,1,-3,-4,1,high,high,0,booking momentum and occupancy,post_restriction_demand_recovery,1
T3000165,2022Q3,CLNE,deteriorating,deteriorating,0,-2,-2,0,0,4,3,-1,1,-3,-3,0,0,high,medium,1,guidance and commodity volatility,volume_growth_without_profit_conversion,1
T3000166,2022Q3,COMP,constructive,deteriorating,1,3,-2,-5,1,2,4,2,1,1,-3,-4,1,high,high,0,market share and cost actions,cost_reduction_against_market_downturn,1
T3000167,2022Q3,CRCT,neutral,neutral,0,1,1,0,0,2,4,2,1,0,-3,-3,1,high,high,0,user growth offset by hardware weakness,subscription_growth_vs_hardware_demand_break,1
